participant_id,participant_type,family_id
CUB001,Mother,CUB001
CUB001B,Baby,CUB003
CUB002,Mother,CUB002
CUB002B,Baby,CUB001
CUB003,Mother,CUB003
CUB004,Mother,CUB004
CUB005,Mother,CUB005
CUB005B,Baby,CUB005
CUB006,Mother,CUB006
CUB006B,Baby,CUB006
CUB007,Mother,CUB007
CUB007B,Baby,CUB007
CUB008,Mother,CUB008
CUB009,Mother,CUB009
CUB010,Mother,CUB010
CUB010B,Baby,CUB010
CUB011,Mother,CUB011
CUB012,Mother,CUB012
CUB013,Mother,CUB013
CUB014,Mother,CUB014
CUB015,Mother,CUB015
CUB016,Mother,CUB016
CUB016B,Baby,CUB016
CUB017,Mother,CUB017
CUB017B,Baby,CUB017
CUB018,Mother,CUB018
KVM001,Mother,KVM001
KVM002,Mother,KVM002
KVM002B,Baby,KVM002
KVM003,Mother,KVM003
KVM003B,Baby,KVM003
KVM004,Mother,KVM004
KVM004B,Baby,KVM004
KVM005,Mother,KVM005
KVM006,Mother,KVM006
KVM006B,Baby,KVM006
KVM007,Mother,KVM007
KVM008,Mother,KVM008
KVM009,Mother,KVM009
KVM010,Mother,KVM010
KVM010B,Baby,KVM010
KVM011,Mother,KVM011
KVM011B,Baby,KVM011
KVM012,Mother,KVM012
KVM012B,Baby,KVM012
KVM013,Mother,KVM013
KVM013B,Baby,KVM013
KVM014,Mother,KVM014
KVM015,Mother,KVM015
KVM015B,Baby,KVM015
KVM016,Mother,KVM016
KVM017,Mother,KVM017
KVM018,Mother,KVM018
KVM019,Mother,KVM019
KVM020,Mother,KVM020
KVM021,Mother,KVM021
KVM022,Mother,KVM022
KVM023,Mother,KVM023
KVM024,Mother,KVM024
KVM025,Mother,KVM025
KVM026,Mother,KVM026
KVM027,Mother,KVM027
KVM027B,Baby,KVM027
LWI001,Mother,LWI001
LWI001B,Baby,LWI001
LWI002,Mother,LWI002
LWI002B,Baby,LWI002
LWI003,Mother,LWI003
LWI003B,Baby,LWI003
LWI004,Mother,LWI004
LWI004B,Baby,LWI004
LWI005,Mother,LWI005
LWI005B,Baby,LWI005
LWI006,Mother,LWI006
LWI006B,Baby,LWI006
LWI007,Mother,LWI007
LWI007B,Baby,LWI007
LWI008,Mother,LWI008
LWI009,Mother,LWI009
LWI010,Mother,LWI010
LWI010B,Baby,LWI010
LWI011,Mother,LWI011
LWI012,Mother,LWI012
LWI013,Mother,LWI013
LWI014,Mother,LWI014
LWI014B,Baby,LWI014
LWI016,Mother,LWI016
LWI017,Mother,LWI017
LWI017B,Baby,LWI017
LWI018,Mother,LWI018
LWI019,Mother,LWI019
LWI020,Mother,LWI020
LWI020B,Baby,LWI020
LWI021,Mother,LWI021
LWI022,Mother,LWI022
LWI022B,Baby,LWI022
LWI023,Mother,LWI023
LWI024,Mother,LWI024
LWI025,Mother,LWI025
LWI025B,Baby,LWI025
LWI026,Mother,LWI026
LWI026B,Baby,LWI026
LWI027,Mother,LWI027
LWI028,Mother,LWI028
LWI029,Mother,LWI029
LWI029B,Baby,LWI029
LWI030,Mother,LWI030
LWI031,Mother,LWI031
MITI001,Mother,MITI001
MITI002,Mother,MITI002
MITI002B,Baby,MITI002
MITI003,Mother,MITI003
MITI003B,Baby,MITI003
MITI004,Mother,MITI004
MITI005,Mother,MITI005
MITI006,Mother,MITI006
MITI006B,Baby,MITI006
MITI007,Mother,MITI007
MITI008,Mother,MITI008
MITI008B,Baby,MITI008
MITI009,Mother,MITI009
MITI010,Mother,MITI010
MITI010B,Baby,MITI010
MITI011,Mother,MITI011
MITI011B,Baby,MITI011
MITI012,Mother,MITI012
